,일자,구,일반승차인원,일반하차인원,일반환승인원,청소년승차인원,청소년하차인원,청소년환승인원,어린이승차인원,어린이하차인원,어린이환승인원,미분류승차인원,미분류하차인원,미분류환승인원
0,2023년 03월 01일,동구,100600,87257,21418,105494,90962,22254,101352,87904,21496,100732,87357,21418
1,2023년 03월 01일,서구,127262,110789,29925,135259,116997,31205,128399,111759,30057,127352,110845,29925
2,2023년 03월 01일,중구,74800,67462,14250,79516,70979,14776,75682,68218,14331,74844,67497,14250
3,2023년 03월 01일,대덕구,40925,36651,7453,43122,38227,7792,41254,36899,7469,40955,36676,7453
4,2023년 03월 01일,유성구,79446,73214,15782,84167,77167,16600,80264,73987,15906,79491,73248,15782
5,2023년 03월 02일,동구,153134,135178,39531,163682,143308,41476,153824,135804,39596,153313,135329,39531
6,2023년 03월 02일,서구,223323,194062,54007,235898,204122,56134,224256,194852,54094,223452,194147,54007
7,2023년 03월 02일,중구,119158,107224,27178,128666,114012,28551,119915,107842,27225,119258,107283,27178
8,2023년 03월 02일,대덕구,78659,70530,16074,84400,74628,16747,79124,70906,16097,78729,70578,16074
9,2023년 03월 02일,유성구,143579,130362,31332,153291,138226,33010,144316,131026,31390,143641,130398,31332
10,2023년 03월 03일,동구,157846,138918,38445,168149,146944,40310,158541,139576,38509,158036,139070,38445
11,2023년 03월 03일,서구,231381,201442,54754,243869,211047,56866,232231,202157,54839,231546,201552,54754
12,2023년 03월 03일,중구,122528,112230,26570,131596,118583,27981,123227,112787,26620,122653,112303,26570
13,2023년 03월 03일,대덕구,81545,72681,16390,86789,76386,17030,82002,73053,16407,81607,72721,16390
14,2023년 03월 03일,유성구,145379,131499,30437,154660,139076,32013,146116,132150,30511,145433,131530,30437
15,2023년 03월 04일,동구,120663,106600,26033,125448,110436,26851,121493,107330,26131,120804,106715,26033
16,2023년 03월 04일,서구,160162,138543,35082,168949,145364,36494,161340,139560,35232,160273,138614,35084
17,2023년 03월 04일,중구,91074,84040,17280,96171,87966,17947,91922,84751,17349,91143,84083,17281
18,2023년 03월 04일,대덕구,52533,45811,9484,55079,47582,9841,52968,46160,9521,52562,45826,9484
19,2023년 03월 04일,유성구,97942,89544,19185,103137,93856,20039,98791,90315,19286,98006,89591,19185
20,2023년 03월 05일,동구,98799,82763,19361,103495,86339,20139,99326,83228,19427,98910,82853,19361
21,2023년 03월 05일,서구,113648,98808,26232,121353,104729,27451,114552,99548,26347,113736,98864,26232
22,2023년 03월 05일,중구,67465,60562,12480,71532,63461,12972,68069,61072,12525,67514,60590,12480
23,2023년 03월 05일,대덕구,36059,32005,6372,38127,33494,6691,36393,32273,6397,36091,32030,6372
24,2023년 03월 05일,유성구,70364,66962,14605,74863,70910,15444,71062,67612,14692,70398,66982,14605
25,2023년 03월 06일,동구,155707,135902,40009,165399,143408,41830,156355,136489,40066,155912,136050,40009
26,2023년 03월 06일,서구,225541,196421,54412,236722,205186,56352,226328,197107,54476,225703,196530,54412
27,2023년 03월 06일,중구,119801,107509,27166,128374,113387,28555,120509,108070,27210,119907,107574,27166
28,2023년 03월 06일,대덕구,79641,71854,16454,84989,75772,17099,80075,72207,16473,79730,71898,16454
29,2023년 03월 06일,유성구,145338,132125,32420,154163,139424,34053,145951,132663,32465,145411,132172,32421
30,2023년 03월 07일,동구,0,0,0,0,0,0,0,0,0,0,0,0
31,2023년 03월 07일,서구,0,0,0,0,0,0,0,0,0,0,0,0
32,2023년 03월 07일,중구,0,0,0,0,0,0,0,0,0,0,0,0
33,2023년 03월 07일,대덕구,0,0,0,0,0,0,0,0,0,0,0,0
34,2023년 03월 07일,유성구,0,0,0,0,0,0,0,0,0,0,0,0
35,2023년 03월 08일,동구,0,0,0,0,0,0,0,0,0,0,0,0
36,2023년 03월 08일,서구,0,0,0,0,0,0,0,0,0,0,0,0
37,2023년 03월 08일,중구,0,0,0,0,0,0,0,0,0,0,0,0
38,2023년 03월 08일,대덕구,0,0,0,0,0,0,0,0,0,0,0,0
39,2023년 03월 08일,유성구,0,0,0,0,0,0,0,0,0,0,0,0
40,2023년 03월 09일,동구,0,0,0,0,0,0,0,0,0,0,0,0
41,2023년 03월 09일,서구,0,0,0,0,0,0,0,0,0,0,0,0
42,2023년 03월 09일,중구,0,0,0,0,0,0,0,0,0,0,0,0
43,2023년 03월 09일,대덕구,0,0,0,0,0,0,0,0,0,0,0,0
44,2023년 03월 09일,유성구,0,0,0,0,0,0,0,0,0,0,0,0
45,2023년 03월 10일,동구,160646,142177,38857,170632,149969,40635,161344,142815,38926,160829,142312,38857
46,2023년 03월 10일,서구,232697,202481,54769,244968,212052,56870,233573,203194,54837,232843,202585,54769
47,2023년 03월 10일,중구,125080,114690,26972,134155,121179,28362,125804,115280,27025,125207,114766,26972
48,2023년 03월 10일,대덕구,81181,71616,16324,86391,75238,16913,81607,71962,16347,81241,71658,16324
49,2023년 03월 10일,유성구,148336,133632,31018,157801,141238,32579,149047,134260,31073,148400,133675,31018
50,2023년 03월 11일,동구,124598,110543,26467,130104,114978,27440,125492,111351,26566,124765,110693,26467
51,2023년 03월 11일,서구,163541,141947,36461,173093,149390,37882,164937,143086,36639,163644,142009,36461
52,2023년 03월 11일,중구,94566,86224,18029,100387,90711,18798,95544,87038,18129,94652,86279,18029
53,2023년 03월 11일,대덕구,53328,46373,9484,56209,48408,9854,53781,46719,9529,53373,46409,9484
54,2023년 03월 11일,유성구,97768,88938,18932,103432,93724,19847,98791,89871,19047,97833,88982,18932
55,2023년 03월 12일,동구,86844,71046,16535,91561,74606,17326,87285,71395,16593,86933,71122,16535
56,2023년 03월 12일,서구,99989,86608,23340,107349,92213,24558,100823,87290,23442,100056,86645,23340
57,2023년 03월 12일,중구,59028,51493,11006,63043,54450,11532,59477,51846,11036,59067,51515,11006
58,2023년 03월 12일,대덕구,31464,28102,5291,33440,29610,5563,31680,28287,5302,31491,28123,5291
59,2023년 03월 12일,유성구,61134,58183,12636,65492,61901,13427,61664,58640,12688,61165,58197,12636
60,2023년 03월 13일,동구,149412,130838,38722,159012,138209,40570,150065,131447,38780,149594,130989,38722
61,2023년 03월 13일,서구,219265,191203,53503,230383,199957,55484,220049,191856,53565,219438,191318,53503
62,2023년 03월 13일,중구,116884,104719,26232,125329,110517,27589,117646,105333,26278,116981,104783,26232
63,2023년 03월 13일,대덕구,77773,70341,16213,82780,74027,16870,78146,70646,16242,77857,70413,16213
64,2023년 03월 13일,유성구,140569,127371,31150,149344,134583,32761,141170,127899,31191,140622,127408,31150
65,2023년 03월 14일,동구,151425,133553,39552,160783,140718,41341,152069,134158,39614,151608,133693,39552
66,2023년 03월 14일,서구,226996,197049,54560,238098,205814,56450,227805,197741,54612,227169,197158,54560
67,2023년 03월 14일,중구,120705,108970,27040,129153,114740,28450,121464,109538,27091,120837,109047,27040
68,2023년 03월 14일,대덕구,79487,71292,16460,84649,74945,17064,79891,71631,16481,79556,71341,16460
69,2023년 03월 14일,유성구,148207,134507,32456,156715,141500,33967,148825,135068,32506,148269,134549,32456
70,2023년 03월 15일,동구,151517,133282,39471,161008,140512,41295,152199,133920,39537,151684,133405,39471
71,2023년 03월 15일,서구,227267,197139,54534,238578,206073,56486,228060,197815,54593,227436,197251,54534
72,2023년 03월 15일,중구,120183,108849,26770,128861,114868,28140,120933,109441,26811,120304,108930,26770
73,2023년 03월 15일,대덕구,79078,70797,16193,84190,74509,16863,79510,71158,16214,79154,70838,16193
74,2023년 03월 15일,유성구,144954,130985,31738,153582,138008,33276,145634,131602,31808,145010,131018,31738
75,2023년 03월 16일,동구,151925,135064,39745,161176,142112,41562,152589,135683,39802,152117,135217,39745
76,2023년 03월 16일,서구,225548,195982,53840,236504,204588,55659,226338,196665,53905,225720,196103,53840
77,2023년 03월 16일,중구,119490,107390,26398,127759,113116,27729,120198,107944,26443,119595,107457,26398
78,2023년 03월 16일,대덕구,78990,70867,16240,84039,74534,16871,79414,71221,16266,79071,70932,16240
79,2023년 03월 16일,유성구,144688,130739,31349,153345,137794,32861,145312,131286,31399,144733,130768,31349
80,2023년 03월 17일,동구,155720,138191,38219,165389,145649,39896,156427,138865,38285,155881,138332,38219
81,2023년 03월 17일,서구,230853,199844,54223,242976,209178,56243,231805,200644,54305,231005,199941,54226
82,2023년 03월 17일,중구,121569,111773,26534,130413,118045,27889,122325,112349,26579,121684,111842,26535
83,2023년 03월 17일,대덕구,79023,70167,15794,84006,73705,16368,79456,70535,15822,79093,70214,15794
84,2023년 03월 17일,유성구,144610,130301,30323,153618,137674,31826,145333,130934,30381,144649,130323,30323
85,2023년 03월 18일,동구,121839,106958,26397,127374,111297,27323,122869,107875,26484,121999,107088,26397
86,2023년 03월 18일,서구,152694,132297,34199,161641,139369,35583,154093,133488,34410,152806,132358,34199
87,2023년 03월 18일,중구,90431,83386,16973,95878,87502,17639,91484,84257,17043,90511,83430,16973
88,2023년 03월 18일,대덕구,52923,46244,9266,55690,48210,9610,53388,46606,9305,52973,46284,9266
89,2023년 03월 18일,유성구,90317,81960,17666,95733,86509,18543,91405,82911,17791,90356,81986,17666
