,일자,구,일반승차인원,일반하차인원,일반환승인원,청소년승차인원,청소년하차인원,청소년환승인원,평균기온(°C),일강수량(mm),가조시간(hr),평균 지면온도(°C)
0,2023년 03월 01일,동구,100600,87257,21418,105494,90962,22254,6.6,0.0,11.4,6.6
1,2023년 03월 01일,서구,127262,110789,29925,135259,116997,31205,6.6,0.0,11.4,6.6
2,2023년 03월 01일,중구,74800,67462,14250,79516,70979,14776,6.6,0.0,11.4,6.6
3,2023년 03월 01일,대덕구,40925,36651,7453,43122,38227,7792,6.6,0.0,11.4,6.6
4,2023년 03월 01일,유성구,79446,73214,15782,84167,77167,16600,6.6,0.0,11.4,6.6
5,2023년 03월 02일,동구,153134,135178,39531,163682,143308,41476,2.3,0.0,11.4,4.8
6,2023년 03월 02일,서구,223323,194062,54007,235898,204122,56134,2.3,0.0,11.4,4.8
7,2023년 03월 02일,중구,119158,107224,27178,128666,114012,28551,2.3,0.0,11.4,4.8
8,2023년 03월 02일,대덕구,78659,70530,16074,84400,74628,16747,2.3,0.0,11.4,4.8
9,2023년 03월 02일,유성구,143579,130362,31332,153291,138226,33010,2.3,0.0,11.4,4.8
10,2023년 03월 03일,동구,157846,138918,38445,168149,146944,40310,4.2,0.0,11.5,5.8
11,2023년 03월 03일,서구,231381,201442,54754,243869,211047,56866,4.2,0.0,11.5,5.8
12,2023년 03월 03일,중구,122528,112230,26570,131596,118583,27981,4.2,0.0,11.5,5.8
13,2023년 03월 03일,대덕구,81545,72681,16390,86789,76386,17030,4.2,0.0,11.5,5.8
14,2023년 03월 03일,유성구,145379,131499,30437,154660,139076,32013,4.2,0.0,11.5,5.8
15,2023년 03월 04일,동구,120663,106600,26033,125448,110436,26851,6.4,0.0,11.5,7.2
16,2023년 03월 04일,서구,160162,138543,35082,168949,145364,36494,6.4,0.0,11.5,7.2
17,2023년 03월 04일,중구,91074,84040,17280,96171,87966,17947,6.4,0.0,11.5,7.2
18,2023년 03월 04일,대덕구,52533,45811,9484,55079,47582,9841,6.4,0.0,11.5,7.2
19,2023년 03월 04일,유성구,97942,89544,19185,103137,93856,20039,6.4,0.0,11.5,7.2
20,2023년 03월 05일,동구,98799,82763,19361,103495,86339,20139,7.9,0.0,11.5,8.4
21,2023년 03월 05일,서구,113648,98808,26232,121353,104729,27451,7.9,0.0,11.5,8.4
22,2023년 03월 05일,중구,67465,60562,12480,71532,63461,12972,7.9,0.0,11.5,8.4
23,2023년 03월 05일,대덕구,36059,32005,6372,38127,33494,6691,7.9,0.0,11.5,8.4
24,2023년 03월 05일,유성구,70364,66962,14605,74863,70910,15444,7.9,0.0,11.5,8.4
25,2023년 03월 06일,동구,155707,135902,40009,165399,143408,41830,8.3,0.0,11.6,9.0
26,2023년 03월 06일,서구,225541,196421,54412,236722,205186,56352,8.3,0.0,11.6,9.0
27,2023년 03월 06일,중구,119801,107509,27166,128374,113387,28555,8.3,0.0,11.6,9.0
28,2023년 03월 06일,대덕구,79641,71854,16454,84989,75772,17099,8.3,0.0,11.6,9.0
29,2023년 03월 06일,유성구,145338,132125,32420,154163,139424,34053,8.3,0.0,11.6,9.0
30,2023년 03월 10일,동구,160646,142177,38857,170632,149969,40635,14.3,0.0,11.7,14.2
31,2023년 03월 10일,서구,232697,202481,54769,244968,212052,56870,14.3,0.0,11.7,14.2
32,2023년 03월 10일,중구,125080,114690,26972,134155,121179,28362,14.3,0.0,11.7,14.2
33,2023년 03월 10일,대덕구,81181,71616,16324,86391,75238,16913,14.3,0.0,11.7,14.2
34,2023년 03월 10일,유성구,148336,133632,31018,157801,141238,32579,14.3,0.0,11.7,14.2
35,2023년 03월 11일,동구,124598,110543,26467,130104,114978,27440,16.4,0.0,11.8,15.6
36,2023년 03월 11일,서구,163541,141947,36461,173093,149390,37882,16.4,0.0,11.8,15.6
37,2023년 03월 11일,중구,94566,86224,18029,100387,90711,18798,16.4,0.0,11.8,15.6
38,2023년 03월 11일,대덕구,53328,46373,9484,56209,48408,9854,16.4,0.0,11.8,15.6
39,2023년 03월 11일,유성구,97768,88938,18932,103432,93724,19847,16.4,0.0,11.8,15.6
40,2023년 03월 12일,동구,86844,71046,16535,91561,74606,17326,6.8,12.4,11.8,7.3
41,2023년 03월 12일,서구,99989,86608,23340,107349,92213,24558,6.8,12.4,11.8,7.3
42,2023년 03월 12일,중구,59028,51493,11006,63043,54450,11532,6.8,12.4,11.8,7.3
43,2023년 03월 12일,대덕구,31464,28102,5291,33440,29610,5563,6.8,12.4,11.8,7.3
44,2023년 03월 12일,유성구,61134,58183,12636,65492,61901,13427,6.8,12.4,11.8,7.3
45,2023년 03월 13일,동구,149412,130838,38722,159012,138209,40570,3.5,0.0,11.8,5.1
46,2023년 03월 13일,서구,219265,191203,53503,230383,199957,55484,3.5,0.0,11.8,5.1
47,2023년 03월 13일,중구,116884,104719,26232,125329,110517,27589,3.5,0.0,11.8,5.1
48,2023년 03월 13일,대덕구,77773,70341,16213,82780,74027,16870,3.5,0.0,11.8,5.1
49,2023년 03월 13일,유성구,140569,127371,31150,149344,134583,32761,3.5,0.0,11.8,5.1
50,2023년 03월 14일,동구,151425,133553,39552,160783,140718,41341,9.4,0.0,11.9,9.3
51,2023년 03월 14일,서구,226996,197049,54560,238098,205814,56450,9.4,0.0,11.9,9.3
52,2023년 03월 14일,중구,120705,108970,27040,129153,114740,28450,9.4,0.0,11.9,9.3
53,2023년 03월 14일,대덕구,79487,71292,16460,84649,74945,17064,9.4,0.0,11.9,9.3
54,2023년 03월 14일,유성구,148207,134507,32456,156715,141500,33967,9.4,0.0,11.9,9.3
55,2023년 03월 15일,동구,151517,133282,39471,161008,140512,41295,11.5,0.0,11.9,11.5
56,2023년 03월 15일,서구,227267,197139,54534,238578,206073,56486,11.5,0.0,11.9,11.5
57,2023년 03월 15일,중구,120183,108849,26770,128861,114868,28140,11.5,0.0,11.9,11.5
58,2023년 03월 15일,대덕구,79078,70797,16193,84190,74509,16863,11.5,0.0,11.9,11.5
59,2023년 03월 15일,유성구,144954,130985,31738,153582,138008,33276,11.5,0.0,11.9,11.5
60,2023년 03월 16일,동구,151925,135064,39745,161176,142112,41562,6.1,0.0,12.0,9.1
61,2023년 03월 16일,서구,225548,195982,53840,236504,204588,55659,6.1,0.0,12.0,9.1
62,2023년 03월 16일,중구,119490,107390,26398,127759,113116,27729,6.1,0.0,12.0,9.1
63,2023년 03월 16일,대덕구,78990,70867,16240,84039,74534,16871,6.1,0.0,12.0,9.1
64,2023년 03월 16일,유성구,144688,130739,31349,153345,137794,32861,6.1,0.0,12.0,9.1
65,2023년 03월 17일,동구,155720,138191,38219,165389,145649,39896,7.3,0.0,12.0,8.2
66,2023년 03월 17일,서구,230853,199844,54223,242976,209178,56243,7.3,0.0,12.0,8.2
67,2023년 03월 17일,중구,121569,111773,26534,130413,118045,27889,7.3,0.0,12.0,8.2
68,2023년 03월 17일,대덕구,79023,70167,15794,84006,73705,16368,7.3,0.0,12.0,8.2
69,2023년 03월 17일,유성구,144610,130301,30323,153618,137674,31826,7.3,0.0,12.0,8.2
70,2023년 03월 18일,동구,121839,106958,26397,127374,111297,27323,9.3,0.0,12.0,12.6
71,2023년 03월 18일,서구,152694,132297,34199,161641,139369,35583,9.3,0.0,12.0,12.6
72,2023년 03월 18일,중구,90431,83386,16973,95878,87502,17639,9.3,0.0,12.0,12.6
73,2023년 03월 18일,대덕구,52923,46244,9266,55690,48210,9610,9.3,0.0,12.0,12.6
74,2023년 03월 18일,유성구,90317,81960,17666,95733,86509,18543,9.3,0.0,12.0,12.6
75,2023년 03월 19일,동구,98525,81784,18932,103456,85456,19735,8.7,0.0,12.1,11.6
76,2023년 03월 19일,서구,110581,96292,25404,118168,102213,26551,8.7,0.0,12.1,11.6
77,2023년 03월 19일,중구,69074,61514,12656,73839,65070,13246,8.7,0.0,12.1,11.6
78,2023년 03월 19일,대덕구,35233,31737,5838,37415,33341,6123,8.7,0.0,12.1,11.6
79,2023년 03월 19일,유성구,71045,67428,14748,75610,71371,15494,8.7,0.0,12.1,11.6
80,2023년 03월 20일,동구,151378,132829,38325,160459,139787,40043,10.6,0.0,12.1,13.1
81,2023년 03월 20일,서구,216301,188380,52138,227030,196873,53940,10.6,0.0,12.1,13.1
82,2023년 03월 20일,중구,117005,105800,26392,124966,111218,27667,10.6,0.0,12.1,13.1
83,2023년 03월 20일,대덕구,77142,69680,15768,82190,73363,16401,10.6,0.0,12.1,13.1
84,2023년 03월 20일,유성구,136844,123742,30398,145213,130550,31880,10.6,0.0,12.1,13.1
85,2023년 03월 21일,동구,153888,135298,40659,163177,142307,42433,14.0,0.0,12.2,15.8
86,2023년 03월 21일,서구,224279,194869,53569,235225,203531,55421,14.0,0.0,12.2,15.8
87,2023년 03월 21일,중구,120946,108992,27126,129325,114776,28480,14.0,0.0,12.2,15.8
88,2023년 03월 21일,대덕구,79080,71148,16201,84144,74728,16799,14.0,0.0,12.2,15.8
89,2023년 03월 21일,유성구,144220,129863,31373,152624,136636,32818,14.0,0.0,12.2,15.8
90,2023년 03월 22일,동구,153312,134088,40147,162526,141110,41933,17.0,0.0,12.2,18.4
91,2023년 03월 22일,서구,227842,197478,54851,238874,206034,56730,17.0,0.0,12.2,18.4
92,2023년 03월 22일,중구,120706,109407,27392,129171,115296,28754,17.0,0.0,12.2,18.4
93,2023년 03월 22일,대덕구,80018,72110,16722,84932,75622,17306,17.0,0.0,12.2,18.4
94,2023년 03월 22일,유성구,146386,132003,32012,154736,138735,33456,17.0,0.0,12.2,18.4
95,2023년 03월 23일,동구,146213,128213,37752,155360,135256,39508,15.0,11.4,12.2,15.4
96,2023년 03월 23일,서구,218478,187765,51440,230122,196711,53354,15.0,11.4,12.2,15.4
97,2023년 03월 23일,중구,115125,103229,25260,124184,109241,26616,15.0,11.4,12.2,15.4
98,2023년 03월 23일,대덕구,78874,70297,16150,83625,73638,16726,15.0,11.4,12.2,15.4
99,2023년 03월 23일,유성구,142927,127275,30492,151525,134212,31969,15.0,11.4,12.2,15.4
100,2023년 03월 24일,동구,162161,144169,39936,172148,151897,41784,12.4,0.0,12.3,14.9
101,2023년 03월 24일,서구,234589,203231,55707,246649,212638,57764,12.4,0.0,12.3,14.9
102,2023년 03월 24일,중구,126690,116277,27340,136055,122815,28711,12.4,0.0,12.3,14.9
103,2023년 03월 24일,대덕구,81219,71577,16154,86193,75166,16742,12.4,0.0,12.3,14.9
104,2023년 03월 24일,유성구,151430,136067,31812,160404,143251,33295,12.4,0.0,12.3,14.9
105,2023년 03월 25일,동구,124256,110803,27252,130350,115742,28291,10.8,0.0,12.3,12.0
106,2023년 03월 25일,서구,162532,140144,36375,172481,147785,37883,10.8,0.0,12.3,12.0
107,2023년 03월 25일,중구,92348,84317,17792,98034,88599,18540,10.8,0.0,12.3,12.0
108,2023년 03월 25일,대덕구,52215,45170,9430,55250,47364,9853,10.8,0.0,12.3,12.0
109,2023년 03월 25일,유성구,97131,88751,19156,103070,93706,20093,10.8,0.0,12.3,12.0
110,2023년 03월 26일,동구,105339,87119,20129,111159,91537,21086,9.7,0.0,12.4,14.0
111,2023년 03월 26일,서구,120409,104238,28017,129324,111285,29485,9.7,0.0,12.4,14.0
